,name,rating,number of review,about
7434,Aurus,3.0,86,IT Services & Consulting | 201-500 Employees | 23 years old | Norwood +3 more
7435,GlobeGround India,4.0,86,Aviation | 51-200 Employees | 24 years old | Bangalore +8 more
7436,CLP India,4.3,86,Power | 201-500 Employees | 21 years old | Mumbai +10 more
7437,Creativelipi Webtech,3.6,86,IT Services & Consulting | 51-200 Employees | 20 years old | Noida +2 more
7438,Rotex,3.7,86,Auto Components | 201-500 Employees | Public | 56 years old | Mumbai +9 more
7439,Numero Uno Clothing,3.9,86,Fashion & Textile | 501-1k Employees | 36 years old | Gurugram +22 more
7440,Pentagon System and Services,4.1,86,IT Services & Consulting | 201-500 Employees | 29 years old | Mumbai +13 more
7441,Abhijeet Group,3.8,86,Power | 5k-10k Employees | 35 years old | Nagpur +22 more
7442,Aurus,3.0,86,IT Services & Consulting | 201-500 Employees | 23 years old | Norwood +3 more
7443,Pentagon System and Services,4.1,86,IT Services & Consulting | 201-500 Employees | 29 years old | Mumbai +13 more
7444,Vi-son Industries,3.6,86,Industrial Machinery | 501-1k Employees (Global) | 26 years old | Mumbai +9 more
7445,Equifax,3.5,86,IT Services & Consulting | 201-500 Employees | Public | 13 years old | Atlanta +6 more
7446,NETPLUS Broadband Services,3.6,86,Telecom | 51-200 Employees | 9 years old | Delhi/NCR +13 more
7447,Bgs Global Hospital,4.0,86,Healthcare | 201-500 Employees | 24 years old | Bengaluru +1 more
7448,Kepler Healthcare,3.3,86,Pharma | 51-200 Employees | 10 years old | Ahmedabad +25 more
7449,PP Rolling Mills,4.2,86,Industrial Machinery | 201-500 Employees | 76 years old | Faridabad +3 more
7450,Lion Services,3.7,86,Facility Management Services | 51-200 Employees | 36 years old | Delhi/NCR +15 more
7451,Ddrc Srl Diagnostics,3.5,86,Healthcare | 1k-5k Employees | 40 years old | Ernakulam +13 more
7452,Doms Industries,3.7,86,Other | 201-500 Employees | 47 years old | Vapi +16 more
7453,Livedigital Marketing Solutions,3.2,86,Telecom | 11-50 Employees (Global) | 10 years old | Noida +6 more
7454,Sahyadri Farmers Producer Company,3.5,86,Food Processing | 501-1k Employees | 13 years old | Nashik +6 more
7455,YES SECURITIES,3.5,86,Investment Banking / Venture Capital / Private Equity | 501-1k Employees | Mumbai +22 more
7456,Auma,4.1,86,Industrial Automation | 201-500 Employees | 59 years old | Muellheim +7 more
7457,Magicrete Building Solutions,3.9,86,Building Material | 201-500 Employees | 15 years old | Surat +12 more
7458,Nath Bio - Genes,4.2,86,Agro Chemicals | 501-1k Employees | Public | 44 years old | Aurangabad +14 more
7459,RAKBANK,3.6,86,Banking | 1k-5k Employees (Global) | Public | 47 years old | Ras al Khaimah +5 more
7460,AccSource KPO,4.0,86,Accounting & Auditing | 51-200 Employees | 15 years old | Sydney +1 more
7461,Signutra,3.8,86,Pharma | 51-200 Employees | 33 years old | Wilmington +13 more
7462,Jindal Water Infrastructure,4.2,86,Waste Management | 1k-5k Employees (Global) | Public | 17 years old | New Delhi +17 more
7463,Hbk Contracting Company Wll,4.6,86,Engineering & Construction | 10k-50k Employees | 53 years old | Doha +4 more
7464,Jawed Habib Hair & Beauty,4.2,86,Retail | 1k-5k Employees | Public | 17 years old | Mumbai +24 more
7465,K2k Infrastructure,4.4,86,Engineering & Construction | 51-200 Employees | 16 years old | Bangaluru +5 more
7466,Liebherr Appliances India,4.3,86,Consumer Electronics & Appliances | 51-200 Employees | 74 years old | Aurangabad +12 more
7467,IPAC,3.7,86,Retail | 1k-5k Employees | Fremont +11 more
7468,Vensa Infrastructure,4.3,86,Real Estate | 51-200 Employees | 11 years old | Hyderabad +10 more
7469,SecUR Credentials,2.9,86,Recruitment | 201-500 Employees | 22 years old | Mumbai +6 more
7470,NELCAST,3.5,86,Iron & Steel | 501-1k Employees | Public | 41 years old | Chennai +5 more
7471,94.3 MY FM,3.7,86,Broadcasting | 201-500 Employees | 17 years old | Noida +24 more
7472,Armstrong Machine Builders,3.3,86,Industrial Machinery | 51-200 Employees | 24 years old | Pune +4 more
7473,Ecolab Food Safety & Hygiene Solutions,3.8,86,Chemicals | 51-200 Employees | Public | 100 years old | St. Paul +8 more
7474,LIC Mutual Fund,3.9,86,Financial Services | 501-1k Employees (Global) | Public | 34 years old | Mumbai +31 more
7475,JSL Stainless,4.3,86,Iron & Steel | 1k-5k Employees (Global) | Public | 53 years old | New Delhi +7 more
7476,Legend Polyfoams,4.4,86,Petrochemicals | 11-50 Employees | 23 years old | New Delhi +1 more
7477,Drums Food International,4.0,86,Food Processing | 51-200 Employees | 16 years old | Mumbai +15 more
7478,Gram Panchayat,4.0,86,Government | Raigarh +23 more
7479,TRACKS AND TOWERS INFRATECH,4.2,86,Engineering & Construction | 501-1k Employees | 40 years old | Hyderabad +19 more
7480,SRM Institute of Science and Technology,3.7,86,Education & Training | 1k-5k Employees | 38 years old | Chennai +8 more
7481,Auma,4.1,86,Industrial Automation | 201-500 Employees | 59 years old | Muellheim +7 more
7482,TPI Composites,4.2,86,Industrial Machinery | 501-1k Employees | Public | 55 years old | Scottsdale +3 more
7483,SDNA Global,4.2,86,Recruitment | 51-200 Employees | 13 years old | London +9 more
7484,Slice,3.8,86,Financial Services | 1k-5k Employees | Indian Unicorn | 8 years old | New York City +4 more
7485,Turito,3.4,86,EdTech | 201-500 Employees | Startup | Hyderabad +3 more
7486,ElringKlinger AG,3.9,86,51-200 Employees | 144 years old | Dettingen +3 more
7487,Lubrizol Corporation,3.7,86,Chemicals | 201-500 Employees | Wickliffe +5 more
7488,BetterPlace Select,4.0,86,Recruitment | 201-500 Employees (Global) | 9 years old | Bangalore/Bengaluru +19 more
7489,Ola Foods,3.6,86,1k-5k Employees | Bengaluru/Bangalore +13 more
7490,VFISLK,3.9,86,1k-5k Employees | Bengaluru/Bangalore +3 more
7491,Media NV,4.9,86,Ahmedabad
7492,VisAI Labs,4.8,86,Software Product | 51-200 Employees | Startup | 5 years old | Chennai +1 more
7493,Virtual Oplossing,4.8,86,Marketing & Advertising | 51-200 Employees | 9 years old | Mohali
7494,TCI,4.0,85,Logistics | 65 years old | Gurgaon/Gurugram +24 more
7495,Alliance University,3.8,85,Education & Training | 501-1k Employees | 13 years old | Bengaluru +2 more
7496,Global Upside,3.9,85,BPO | 201-500 Employees | 24 years old | San Jose +3 more
7497,Govind Milk & Milk Products,4.5,85,Food Processing | 51-200 Employees | 27 years old | Satara +11 more
7498,Excelity Global,4.1,85,Recruitment | 501-1k Employees | 26 years old | Singapore +6 more
7499,Manav Rachna International School,4.0,85,Education & Training | 501-1k Employees | 26 years old | Faridabad +3 more
7500,PSRI Hospital,3.5,85,Healthcare | 501-1k Employees (Global) | 27 years old | Delhi/NCR +1 more
7501,Qd-sbg Construction,4.5,85,Engineering & Construction | 51-200 Employees | 13 years old | Doha +3 more
7502,Amp Motors,3.6,85,Automobile | 201-500 Employees | 74 years old | Gurgaon +7 more
7503,K.R.Pulp & Papers,3.9,85,Pulp & Paper | 201-500 Employees | Public | 28 years old | Shahjahanpur +3 more
7504,Khansaheb Civil Engineering LLC,4.7,85,Engineering & Construction | 1k-5k Employees | 88 years old | Dubai +8 more
7505,@home,4.1,85,Furniture & Furnishing | 501-1k Employees (Global) | 18 years old | Mumbai +23 more
7506,Eurolife Healthcare,3.7,85,Pharma | 51-200 Employees | 22 years old | Mumbai +10 more
7507,Voltech Hr Services,3.6,85,Recruitment | 201-500 Employees | 9 years old | Chennai +23 more
7508,Rajagiri Hospital,4.5,85,Healthcare | 201-500 Employees | 9 years old | Kochi +3 more
7509,OEG INDIA,3.4,85,Oil & Gas | 1k-5k Employees (Global) | 16 years old | Chennai +23 more
7510,Eastern Book Company,3.5,85,Printing & Publishing | 51-200 Employees | 81 years old | Lucknow +9 more
7511,Manav Rachna International School,4.0,85,Education & Training | 501-1k Employees | 26 years old | Faridabad +3 more
7512,Opulentus Overseas Careers,2.9,85,Travel & Tourism | 201-500 Employees | 22 years old | Hyderabad +9 more
7513,Khivraj Motors,4.1,85,Automobile | 201-500 Employees (Global) | 62 years old | Chennai +6 more
7514,PSRI Hospital,3.5,85,Healthcare | 501-1k Employees (Global) | 27 years old | Delhi/NCR +1 more
7515,Lanarsy Infra,2.8,85,Engineering & Construction | 201-500 Employees | 20 years old | Hyderabad +10 more
7516,German Remedies,4.3,85,Pharma | 501-1k Employees (Global) | 74 years old | Mumbai +21 more
7517,Oorja Technical Services,3.4,85,Electrical Equipment | 51-200 Employees | 19 years old | Indore +10 more
7518,Excelity Global,4.1,85,Recruitment | 501-1k Employees | 26 years old | Singapore +6 more
7519,Metro Shoes,4.4,85,Fashion & Textile | 1k-5k Employees (Global) | 76 years old | Mumbai +23 more
7520,Uma Polymers,4.0,85,Packaging | 1k-5k Employees | 36 years old | Jodhpur +17 more
7521,Starmark Software,3.8,85,IT Services & Consulting | 51-200 Employees | 23 years old | Bengaluru +2 more
7522,NCL Alltek & Seccolor,3.9,85,Furniture & Furnishing | 51-200 Employees | 34 years old | Hyderabad +17 more
7523,Metro Shoes,4.4,85,Fashion & Textile | 1k-5k Employees (Global) | 76 years old | Mumbai +23 more
7524,Verity,3.1,85,Investment Banking / Venture Capital / Private Equity | 201-500 Employees | 14 years old | Hyderabad/Secunderabad +1 more
7525,Infojini,3.6,85,IT Services & Consulting | 201-500 Employees | 17 years old | New Jersery +5 more
7526,SNS College of Engineering,4.8,85,Education & Training | 201-500 Employees | Coimbatore
7527,TTK Services,3.8,85,Recruitment | 1k-5k Employees | 23 years old | Bangalore +13 more
7528,SAG Infotech,4.1,85,IT Services & Consulting | 51-200 Employees | 24 years old | Jaipur +5 more
7529,Viraj Projects,3.5,85,Real Estate | 51-200 Employees | 22 years old | Pune +8 more
7530,MS Education Academy,3.8,85,Education & Training | 51-200 Employees | 32 years old | Hyderabad +18 more
7531,M+W Group,3.8,85,Engineering & Construction | 51-200 Employees | 111 years old | Stuttgart +13 more
7532,Autohangar,4.3,85,Automobile | 501-1k Employees | 32 years old | Mumbai +3 more
7533,Gulf Contracting,4.1,85,Engineering & Construction | 51-200 Employees | 47 years old | Doha +10 more
7534,Velan Info Services,4.1,85,IT Services & Consulting | 201-500 Employees | 16 years old | Dover +2 more
7535,Unity Infraprojects,3.1,85,Engineering & Construction | 501-1k Employees | Public | 44 years old | Mumbai +14 more
7536,Indus Health Plus,3.4,85,Fitness & Wellness | 201-500 Employees | 23 years old | Pune +13 more
7537,Tecosim Engineering Services,2.8,85,Industrial Machinery | 201-500 Employees | 14 years old | Bangalore/Bengaluru +2 more
7538,Zeon Lifesciences,3.9,85,Healthcare | 501-1k Employees | 36 years old | Noida +3 more
7539,AMBITION JOB,4.1,85,Recruitment | 201-500 Employees (Global) | 24 years old | Sydney +17 more
7540,KapitalTech,4.2,85,Financial Services | 201-500 Employees | Public | 9 years old | Mumbai +29 more
7541,AMBITION JOB,4.1,85,Recruitment | 201-500 Employees (Global) | 24 years old | Hyderabad/Secunderabad +17 more
7542,KapitalTech,4.2,85,Financial Services | 201-500 Employees | Public | 9 years old | Mumbai +29 more
7543,Delivery.com,4.2,85,Internet | 201-500 Employees | Hyderabad/Secunderabad +40 more
7544,Lenexis Foodworks,3.9,85,Hospitality | 51-200 Employees | 8 years old | Mumbai +13 more
7545,Eka Software Solutions,3.5,85,IT Services & Consulting | 501-1k Employees | 19 years old | Bengaluru/Bangalore +9 more
7546,Java R & D,3.0,85,IT Services & Consulting | 201-500 Employees | 15 years old | Bhopal +2 more
7547,SNS Group,4.0,85,Engineering & Construction | 201-500 Employees | 22 years old | New Delhi +8 more
7548,Verity,3.1,85,Investment Banking / Venture Capital / Private Equity | 201-500 Employees | 14 years old | Hyderabad/Secunderabad +1 more
7549,Pride Purple Group,4.2,85,Real Estate | 201-500 Employees | 23 years old | Pune +2 more
7550,Indus Health Plus,3.4,85,Fitness & Wellness | 201-500 Employees | 23 years old | Pune +13 more
7551,Cameo Global,3.9,85,IT Services & Consulting | 201-500 Employees | 18 years old | Bengaluru/Bangalore +2 more
7552,Dura Automotive,3.7,85,Auto Components | 201-500 Employees | 109 years old | Pune +5 more
7553,TCI,4.0,85,Logistics | 65 years old | Gurgaon/Gurugram +24 more
7554,Autohangar,4.3,85,Automobile | 501-1k Employees | 32 years old | Mumbai +3 more
7555,Farbe Firma,4.5,85,Pharma | 201-500 Employees | Conglomerate | 6 years old | Ankleshwar +1 more
7556,OrigoFinance,4.4,85,Financial Services | 51-200 Employees | 7 years old | Hyderabad/Secunderabad +22 more
7557,Paynearby Technologies,4.3,85,Startup | Mumbai +22 more
7558,Zeon Lifesciences,3.9,85,Healthcare | 501-1k Employees | 36 years old | Paonta Sahib +3 more
7559,gvr infra projects,3.5,85,Chennai +17 more
7560,Best Corporation,4.1,85,Fashion & Textile | 201-500 Employees | 56 years old | Tiruppur +8 more
7561,SS,3.6,85,11-50 Employees (Global) | Uniondale +8 more
7562,Tide Water Oil,3.9,85,Chemicals / Agri Inputs | 501-1k Employees | Public | 95 years old | Kolkata +25 more
7563,Uttam Sugar Mills,3.7,85,Food Processing | 1k-5k Employees | Public | 30 years old | Noida +15 more
7564,ASA & Associates,3.5,85,Accounting & Auditing | 501-1k Employees | 32 years old | Delhi/NCR +7 more
7565,Oremus Corporate Services,3.8,85,Financial Services | 51-200 Employees | 21 years old | Hyderabad +1 more
7566,ORISSA METALIKS,3.7,85,51-200 Employees | Kharagpur +1 more
7567,Steadfast Medishield,3.8,85,Pharma | 11-50 Employees | Noida +8 more
7568,JSW Ispat Special Products,3.9,85,Iron & Steel | 1k-5k Employees | Fortune India 500 | Raigarh +7 more
7569,Eversana,4.0,85,Pharma | 501-1k Employees | 14 years old | Milwaukee +3 more
7570,Ola cars,3.3,85,501-1k Employees | Kolkata +23 more
7571,Hitachi Globalogic,3.8,85,Noida +9 more
7572,MSys Tech India,4.1,85,Hardware & Networking | 501-1k Employees | 16 years old | Atlanta +3 more
7573,POSCO,4.1,84,Metals & Mining | 51-200 Employees | Forbes Global 2000 | 55 years old | Pohang-si +16 more
7574,Firepro Systems,3.9,84,Law Enforcement & Security | 1k-5k Employees | 31 years old | Bangalore/Bengaluru +11 more
7575,Chinmaya Vidyalaya,4.0,84,Education & Training | 51-200 Employees | 70 years old | New Delhi +19 more
7576,Elysium Pharmaceuticals,3.2,84,Pharma | 51-200 Employees | Public | 27 years old | Vadodara/Baroda +2 more
7577,Mistral Solutions,4.0,84,IT Services & Consulting | 201-500 Employees | 26 years old | Bangalore/Bengaluru +3 more
7578,Acuvate Software,3.4,84,Software Product | 201-500 Employees | 17 years old | Slough +3 more
7579,Born Group,3.6,84,Marketing & Advertising | 1k-5k Employees | 12 years old | New York +7 more
7580,ITL Industries,3.4,84,Industrial Machinery | 51-200 Employees | Public | 38 years old | Indore +8 more
7581,Omega Elevators,3.7,84,Industrial Machinery | 1k-5k Employees | 38 years old | Ahmedabad +19 more
7582,Manali Petrochemicals,3.8,84,Chemicals | 501-1k Employees | Public | 37 years old | Chennai +4 more
7583,Interra Information Technologies,3.2,84,IT Services & Consulting | 201-500 Employees | 27 years old | San Jose +2 more
7584,Krishidhan Seeds,3.6,84,Biotechnology | 1-10 Employees | 27 years old | Jalna +18 more
7585,Star Paper Mills,3.7,84,Pulp & Paper | 1k-5k Employees | Public | 85 years old | Kolkata +4 more
7586,Ultratech India,3.9,84,Pharma | 11-50 Employees | 31 years old | Navi Mumbai +33 more
7587,Firepro Systems,3.9,84,Law Enforcement & Security | 1k-5k Employees | 31 years old | Bangalore/Bengaluru +11 more
7588,Thrillophilia,2.9,84,Travel & Tourism | 201-500 Employees | 13 years old | Jaipur +5 more
7589,Ramani Ice Cream Co.,3.9,84,Food Processing | 201-500 Employees | 35 years old | Bhopal +15 more
7590,AL Rashid Trading and Contracting Company,4.2,84,Engineering & Construction | 10k-50k Employees | 66 years old | Riyadh +9 more
7591,Fastway Transmission Pvt.ltd,3.8,84,Telecom | 201-500 Employees | 15 years old | Ludhiana +19 more
7592,First Quantum Minerals,4.3,84,Metals & Mining | 1-10 Employees | 40 years old | Vancouver +1 more
7593,Delta Technology,3.8,84,IT Services & Consulting | 51-200 Employees | 17 years old | Hyderabad/Secunderabad +3 more
7594,Bhilai Iron And Steel Processing Company,4.1,84,Iron & Steel | 10k-50k Employees | 15 years old | Bhilai +4 more
7595,Prometric Testing,3.5,84,Software Product | 11-50 Employees | 33 years old | Baltimore +11 more
7596,Elysium Pharmaceuticals,3.2,84,Pharma | 51-200 Employees | Public | 27 years old | Vadodara/Baroda +2 more
7597,Chinmaya Vidyalaya,4.0,84,Education & Training | 51-200 Employees | 70 years old | New Delhi +19 more
7598,Ezeego One Travel Tours,3.7,84,Travel & Tourism | 201-500 Employees | 17 years old | Mumbai +8 more
7599,Gj Solutions,3.2,84,Recruitment | 201-500 Employees (Global) | 13 years old | Hyderabad +5 more
7600,Hemani Industries,3.8,84,Agro Chemicals | 1k-5k Employees | Public | 31 years old | Mumbai +5 more
7601,Bhilai Iron And Steel Processing Company,4.1,84,Iron & Steel | 10k-50k Employees | 15 years old | Bhilai +4 more
7602,Omega Elevators,3.7,84,Industrial Machinery | 1k-5k Employees | 38 years old | Ahmedabad +19 more
7603,Ultratech India,3.9,84,Pharma | 11-50 Employees | 31 years old | Navi Mumbai +33 more
7604,Propshop,2.7,84,Real Estate | 501-1k Employees | 9 years old | Noida +3 more
7605,Gates Unitta India Company,4.0,84,Auto Components | 201-500 Employees | 112 years old | Singapore +11 more
7606,Fastway Transmission Pvt.ltd,3.8,84,Telecom | 201-500 Employees | 15 years old | Ludhiana +19 more
7607,First Quantum Minerals,4.3,84,Metals & Mining | 1-10 Employees | 40 years old | Vancouver +1 more
7608,Hemani Industries,3.8,84,Agro Chemicals | 1k-5k Employees | Public | 31 years old | Mumbai +5 more
7609,Freedom English Academy,4.0,84,Education & Training | 501-1k Employees | 13 years old | New Delhi +9 more
7610,Gadgetwood Eservices,3.5,84,IT Services & Consulting | 51-200 Employees | Startup | 10 years old | Delhi +8 more
7611,Unayur Marketing,4.5,84,Healthcare | 201-500 Employees | 12 years old | New Delhi +1 more
7612,Gmr Airport Developers,4.1,84,5k-10k Employees | 31 years old | New Delhi +3 more
7613,Ramani Ice Cream Co.,3.9,84,Food Processing | 201-500 Employees | 35 years old | Bhopal +15 more
7614,AL Rashid Trading and Contracting Company,4.2,84,Engineering & Construction | 10k-50k Employees | 66 years old | Riyadh +9 more
7615,Confiance BizSol Private Limited,3.4,84,Analytics & KPO | 501-1k Employees | 6 years old | Ahmedabad +2 more
7616,Toppscholars,3.3,84,EdTech | 201-500 Employees | 4 years old | Mumbai +10 more
7617,CivilMantra Infracon Private Limited,4.9,84,Engineering & Construction | 201-500 Employees | Startup | 9 years old | Gurgaon/Gurugram +1 more
7618,STANPLUS TECHNOLOGIES,3.2,84,Healthcare | 11-50 Employees | Startup | 7 years old | Hyderabad +16 more
7619,Hitachi Systems,4.1,84,Mumbai +12 more
7620,Dura-Line,4.4,84,Chemicals | 201-500 Employees | 52 years old | Knoxville +6 more
7621,Wunderman Thompson,3.5,84,IT Services & Consulting | 201-500 Employees | New York +7 more
7622,Anthology,3.9,84,EdTech | 1k-5k Employees | Bengaluru/Bangalore +4 more
7623,Tata Communications Payment Solutions,3.8,84,201-500 Employees | Mumbai +16 more
7624,DigiLantern,4.1,84,IT Services & Consulting | 51-200 Employees | 9 years old | Noida +1 more
7625,Zydus Hospira Oncology,4.0,84,Ahmedabad +3 more
7626,Fulcrum Digital,3.8,84,IT Services & Consulting | 501-1k Employees | 24 years old | Jersey City +1 more
7627,Daimler Trucks Innovation Center,3.7,84,Auto Components | 1k-5k Employees | 2 years old | Bangalore +1 more
7628,FloBiz,3.6,84,IT Services & Consulting | 51-200 Employees | Startup | 4 years old | Bangalore +18 more
7629,Girl Power Talk,4.8,84,Internet | 51-200 Employees | 4 years old | Mohali +2 more
7630,Foodlink F&B Holdings,4.4,84,Hospitality | 501-1k Employees | 20 years old | Mumbai +10 more
7631,Hero Vired,4.1,84,Education & Training | 201-500 Employees | New Delhi +5 more
7632,Hindware Home Innovation,3.4,84,Gurgaon/Gurugram +16 more
7633,Connectwell Industries,3.9,83,Electronics Manufacturing | 501-1k Employees | 45 years old | Dombivli +11 more
7634,SRV Media,4.0,83,Marketing & Advertising | 51-200 Employees | 12 years old | Pune +7 more
7635,Adnet Global,3.5,83,Animation & VFX | 201-500 Employees | 28 years old | Mumbai +4 more
7636,National Oilwell Varco,4.0,83,Oil & Gas | 51-200 Employees | 182 years old | Houston +9 more
7637,O2 Spa,3.0,83,Beauty & Personal Care | 501-1k Employees | 16 years old | Hyderabad +15 more
7638,Netxcell,3.6,83,Telecom | 201-500 Employees | 23 years old | Hyderabad/Secunderabad +10 more
7639,Damac Properties,3.4,83,Real Estate | 1k-5k Employees (Global) | 21 years old | Dubai +4 more
7640,JK Files,3.8,83,Retail | 51-200 Employees | 74 years old | Thane +15 more
7641,Extinct Fire Engineers,3.6,83,Industrial Machinery | 51-200 Employees | 33 years old | Mumbai +9 more
7642,Pearl Beverages,3.5,83,Beverage | 51-200 Employees | 27 years old | Delhi +6 more
7643,Som Projects (S.P.L),3.9,83,Engineering & Construction | 51-200 Employees | 37 years old | Gurugram +16 more
7644,Interactive Avenues,4.0,83,Marketing & Advertising | 501-1k Employees | 17 years old | Mumbai +5 more
7645,DiTech Process Solutions,2.9,83,Printing & Publishing | 51-200 Employees | 15 years old | Mumbai +8 more
7646,Keyideas Infotech,4.7,83,IT Services & Consulting | 11-50 Employees | 16 years old | Gurgaon +1 more
7647,Finar,4.3,83,Chemicals | 201-500 Employees | 25 years old | Ahmedabad +11 more
7648,Madhu Silica,3.9,83,Metals & Mining | 51-200 Employees | 36 years old | Bhavnagar
7649,Takahata Precision,4.0,83,Auto Components | 201-500 Employees | 12 years old | Neemrana +2 more
7650,Pratham Motors,4.0,83,Automobile | 201-500 Employees | 21 years old | Bangalore +3 more
7651,Zifo RnD Solutions,4.1,83,IT Services & Consulting | 201-500 Employees | 15 years old | Chennai
7652,Drytech Processes (I),3.9,83,Food Processing | 51-200 Employees | 31 years old | Mumbai +5 more
7653,Lohia Auto Industries,3.8,83,Automobile | 201-500 Employees | 15 years old | New Delhi +8 more
7654,Swami Vivekanand Subharti University,4.1,83,Education & Training | 501-1k Employees | 15 years old | Meerut +2 more
7655,Shakti Hormann,3.3,83,Architecture & Interior Design | 51-200 Employees | 35 years old | Hyderabad/Secunderabad +9 more
7656,Vatika Hotels,4.0,83,Real Estate | 501-1k Employees | 19 years old | Gurgaon/Gurugram +8 more
7657,JCBL,3.1,83,Auto Components | 1k-5k Employees | Public | 34 years old | Mohali +9 more
7658,HM Group,4.4,83,Real Estate | 51-200 Employees | 32 years old | Bengaluru +4 more
7659,Jivo Wellness,3.8,83,FMCG | 51-200 Employees | 15 years old | Delhi/NCR +12 more
7660,Mitel,3.6,83,Telecom | 501-1k Employees | 51 years old | Kanata +2 more
7661,ECI Telecom,4.1,83,Hardware & Networking | 51-200 Employees | 62 years old | Petah Tikva +15 more
7662,Zimmer Biomet,3.8,83,Medical Equipment | 51-200 Employees | Forbes Global 2000 | 96 years old | Warsaw +12 more
7663,JL Morison India,4.2,83,FMCG | 201-500 Employees | Public | 89 years old | Mumbai +24 more
7664,String Real Estate Information Services,3.5,83,Real Estate | 201-500 Employees | 19 years old | Tampa +9 more
7665,Electronic Arts,4.4,83,Gaming | 1k-5k Employees | Forbes Global 2000 | 41 years old | Redwood City +1 more
7666,Saraswati Vidya Mandir,3.8,83,Education & Training | 51-200 Employees | Public | 47 years old | Mumbai +36 more
7667,Marc Enterprises,3.8,83,Electronics Manufacturing | 201-500 Employees | 42 years old | New Delhi +8 more
7668,Vikram Sarabhai Space Centre,4.8,83,Defence & Aerospace | 201-500 Employees | 61 years old | Thiruvananthapuram +3 more
7669,Emtec,4.2,83,IT Services & Consulting | 51-200 Employees | 28 years old | Jacksonville +3 more
7670,Lot Mobiles,4.1,83,Retail | 501-1k Employees | 11 years old | Hyderabad/Secunderabad +17 more
7671,Allahabad High Court,4.3,83,Law Enforcement & Security | 5k-10k Employees | 154 years old | Allahabad +7 more
7672,Morpheus Human Consulting,4.8,83,11-50 Employees | 18 years old | Mumbai +6 more
7673,The New Indian Express,3.6,83,Printing & Publishing | 51-200 Employees | 91 years old | Chennai +19 more
7674,SPEC INDIA,4.6,83,IT Services & Consulting | 201-500 Employees | 36 years old | Ahmedabad +2 more
7675,John Distilleries,3.7,83,Beverage | 1k-5k Employees | 27 years old | Bangalore +13 more
7676,Sabyasachi Couture,3.4,83,Fashion & Textile | 11-50 Employees | 17 years old | Kolkata +4 more
7677,Verticurl,3.9,83,Marketing & Advertising | 501-1k Employees | 17 years old | Singapore +3 more
7678,Aptronix - Apple Premium Reseller,3.8,83,Electrical Equipment | 201-500 Employees | Public | 12 years old | Hyderabad +13 more
7679,Schawk,3.4,83,Broadcasting | 201-500 Employees | 70 years old | Des Plaines
7680,anovIP,4.5,83,Legal | 201-500 Employees | New Delhi +1 more
7681,Dembla Valves,2.9,83,Engineering & Construction | 201-500 Employees | 38 years old | Thane +10 more
7682,Link Intime,3.5,83,Investment Banking / Venture Capital / Private Equity | 201-500 Employees | 24 years old | Mumbai +6 more
7683,Noble Hospital,3.9,83,Healthcare | 501-1k Employees (Global) | 27 years old | Pune +16 more
7684,SAN Engineering & Locomotive,3.8,83,Industrial Machinery | 201-500 Employees | Public | 54 years old | Bangalore +9 more
7685,Classic Stripes,4.1,83,Auto Components | 1k-5k Employees | 36 years old | Mumbai +9 more
7686,Eben Telecom,3.6,83,Telecom | 501-1k Employees | 28 years old | Kochi +4 more
7687,Site Engineering,3.8,83,Engineering & Construction | 10k-50k Employees | 38 years old | Atlanta +26 more
7688,Abhyudaya Co-operative Bank,4.0,83,Banking | 51-200 Employees | 59 years old | Mumbai +11 more
7689,Avinash Group,4.1,83,Real Estate | 1k-5k Employees | 27 years old | Raipur +4 more
7690,Om Telecom Logistics,4.4,83,Telecom | 51-200 Employees | 38 years old | New Delhi +27 more
7691,National Rural Livelihood Mission,3.7,83,Government | 51-200 Employees | 12 years old | New Delhi +38 more
7692,Srg Housing Finance,3.8,83,NBFC | 201-500 Employees | Public | 24 years old | Udaipur +24 more
7693,Advance India Projects,3.9,83,Real Estate | 51-200 Employees | 32 years old | Gurgaon +9 more
7694,VOLTECH O AND M SERVICES,4.0,83,Oil & Gas | 11-50 Employees | 14 years old | Chennai +16 more
7695,Deepak Fasteners,4.1,83,Industrial Machinery | 1k-5k Employees | 65 years old | Ludhiyana +5 more
7696,Sleepwell,3.9,83,Furniture & Furnishing | 201-500 Employees | 52 years old | Noida +39 more
7697,Renaissance Hotels,4.2,83,Hospitality | 201-500 Employees | 34 years old | Bethesda +8 more
7698,PATH India,4.0,83,Industrial Automation | 51-200 Employees | New Delhi +21 more
7699,PeopleScout,3.2,83,Recruitment | 51-200 Employees | 31 years old | Chicago +2 more
7700,Alghanim Industries,4.0,83,Retail | 501-1k Employees | Conglomerate | 91 years old | Sharq +7 more
7701,Comau,3.1,83,Industrial Automation | 51-200 Employees | 26 years old | Grugliasco +2 more
7702,Hipower Support Center,2.9,83,BPO | 1k-5k Employees (Global) | 9 years old | Bengaluru +1 more
7703,SKS Fasteners,3.4,83,Auto Components | 201-500 Employees | 25 years old | Pune +2 more
7704,Aleor Dermaceuticals,3.7,83,Pharma | 51-200 Employees | Public | 7 years old | Vadodara +4 more
7705,Elite Engineering And Construction,3.5,83,Engineering & Construction | 51-200 Employees | 13 years old | Hyderabad +7 more
7706,Edge Telecom,3.8,83,Telecom | 201-500 Employees | 15 years old | Gurgaon +11 more
7707,Bondada Engineering,3.7,83,Engineering & Construction | 51-200 Employees | 11 years old | Hyderabad +20 more
