,name,rating,number of review,about
144,Equitas Small Finance Bank,4.1,2.8k,Banking | 10k-50k Employees | Fortune India 500 | 16 years old | Chennai +322 more
145,Viatris,4.3,2.8k,Pharma | 10k-50k Employees | Forbes Global 2000 | 62 years old | Canonsburg +63 more
146,L&T Technology Services,3.4,2.8k,IT Services & Consulting | 10k-50k Employees | Public | 11 years old | Vadodara/Baroda +36 more
147,Samvardhana Motherson Group,3.8,2.8k,Auto Components | 5k-10k Employees | Public | 37 years old | Noida +67 more
148,KEC International,4.1,2.8k,Engineering & Construction | 5k-10k Employees | Public | 78 years old | Mumbai +239 more
149,SBI Life Insurance Company,3.8,2.8k,Insurance | 10k-50k Employees | 22 years old | Mumbai +483 more
150,Nagarjuna Construction Company,4.1,2.8k,Engineering & Construction | 1k-5k Employees | Public | 25 years old | Hyderabad/Secunderabad +198 more
151,Ekart Logistics,4.1,2.8k,Logistics | 5k-10k Employees | 14 years old | San Francisco +499 more
152,Aditya Birla Fashion and Retail,4.2,2.7k,Retail | 10k-50k Employees | Fortune India 500 | 8 years old | Mumbai +212 more
153,Optum,4.1,2.7k,Healthcare | 10k-50k Employees | 46 years old | Prairie +22 more
154,Godrej & Boyce Manufacturing,3.9,2.7k,FMCG | 10k-50k Employees | Fortune India 500 | 126 years old | Mumbai +122 more
155,Muthoot Fincorp,4.0,2.7k,NBFC | 10k-50k Employees | Conglomerate | 136 years old | Trivandrum/Thiruvananthapuram +502 more
156,Royal Enfield,4.2,2.7k,Automobile | 1k-5k Employees | 122 years old | Gurgaon/Gurugram +275 more
157,Tata Communications,4.2,2.7k,Telecom | 5k-10k Employees | Public | 37 years old | Mumbai +82 more
158,Piramal Capital Housing Finance,4.3,2.7k,NBFC | 5k-10k Employees | 3 years old | Mumbai +293 more
159,LG Electronics,4.0,2.7k,Consumer Electronics & Appliances | 10k-50k Employees | Public | 65 years old | Seoul +224 more
160,John Deere,4.3,2.7k,IT Services & Consulting | 5k-10k Employees | Fortune India 500 | 22 years old | Moline +105 more
161,L&T Finance,3.9,2.6k,NBFC | 10k-50k Employees | Public | 29 years old | Mumbai +439 more
162,Whitehat jr,3.6,2.6k,EdTech | 5k-10k Employees | Startup | 5 years old | Mumbai +47 more
163,Intas Pharmaceuticals,4.2,2.6k,Pharma | 10k-50k Employees | Fortune India 500 | 23 years old | Ahmedabad +107 more
164,Thermax Limited,4.2,2.6k,Industrial Machinery | 5k-10k Employees | Public | 57 years old | Pune +146 more
165,Varun Beverages,4.0,2.6k,Beverage | 10k-50k Employees | Public | 28 years old | Gurgaon/Gurugram +245 more
166,Ford Motor,4.5,2.5k,Automobile | 5k-10k Employees | Public | 120 years old | Dearborn +102 more
167,Sodexo,4.1,2.5k,Facility Management Services | 10k-50k Employees | Forbes Global 2000 | 15 years old | Issy les Moulineaux +121 more
168,UnitedHealth,4.2,2.5k,Healthcare | 10k-50k Employees | Forbes Global 2000 | 46 years old | Minnetonka +14 more
169,Hetero Drugs,3.8,2.5k,Pharma | 1k-5k Employees | 30 years old | Hyderabad/Secunderabad +34 more
170,Deutsche Bank,4.1,2.5k,Banking | 10k-50k Employees | Fortune India 500 | 153 years old | Frankfurt +32 more
171,Randstad,3.9,2.5k,1k-5k Employees | Conglomerate | 31 years old | Chennai +225 more
172,Abbott Healthcare,4.1,2.5k,Pharma | 1k-5k Employees | Public | 32 years old | Illinois City +160 more
173,Subros,3.9,2.5k,Auto Components | 1k-5k Employees | Public | 38 years old | Noida +39 more
174,Macleods Pharmaceuticals,3.8,2.5k,Pharma | 5k-10k Employees | Public | 37 years old | Mumbai +83 more
175,VE Commercial Vehicles,4.0,2.5k,Automobile | 1k-5k Employees | 15 years old | Gurgaon/Gurugram +117 more
176,Automatic Data Processing (ADP),4.2,2.4k,IT Services & Consulting | 5k-10k Employees | Forbes Global 2000 | 74 years old | New Jersey +16 more
177,American Express,4.3,2.4k,Financial Services | 10k-50k Employees | Forbes Global 2000 | 173 years old | New York City +39 more
178,CARS24,3.6,2.4k,Internet | 5k-10k Employees | Indian Unicorn | 8 years old | Gurgaon +140 more
179,Havells,4.1,2.4k,Electrical Equipment | 5k-10k Employees | Public | 40 years old | Noida +157 more
180,Pidilite Industries,4.3,2.4k,Chemicals | 5k-10k Employees | Public | 64 years old | Mumbai +204 more
181,Alkem Laboratories,4.0,2.4k,Pharma | 10k-50k Employees | Public | 50 years old | Mumbai +135 more
182,Wipro Consumer Care & Lighting,3.8,2.3k,FMCG | 1k-5k Employees | 78 years old | Bangalore/Bengaluru +81 more
183,Indian Air Force,4.6,2.3k,Defence & Aerospace | 1 Lakh+ Employees | 91 years old | New Delhi +108 more
184,Bharat Electronics,4.1,2.3k,Consumer Electronics & Appliances | 5k-10k Employees | Fortune India 500 | 69 years old | Bangalore/Bengaluru +37 more
185,Team Lease,3.9,2.3k,Recruitment | 1k-5k Employees | Public | 7 years old | Bangalore/Bengaluru +263 more
186,Alembic Pharmaceuticals,4.0,2.3k,Pharma | 10k-50k Employees | Public | 116 years old | Vadodara/Baroda +129 more
187,Atos,3.9,2.3k,IT Services & Consulting | 201-500 Employees | Forbes Global 2000 | 26 years old | Vilnius +36 more
188,Hindustan Coca Cola Beverages,4.3,2.3k,Beverage | 5k-10k Employees | 26 years old | Bangalore +192 more
189,Persistent Systems,3.9,2.3k,IT Services & Consulting | 10k-50k Employees | Public | 33 years old | Pune +18 more
190,Wipro Infotech,4.1,2.3k,IT Services & Consulting | 1 Lakh+ Employees (Global) | MNC | 78 years old | Bangalore +116 more
191,Cgi Group,4.2,2.3k,IT Services & Consulting | 10k-50k Employees | Forbes Global 2000 | 47 years old | Montreal +15 more
192,Axis Direct,4.0,2.3k,Financial Services | 1k-5k Employees | 12 years old | San Mateo +265 more
193,Hindalco Industries,4.2,2.3k,Metals & Mining | 10k-50k Employees | Public | 65 years old | Mumbai +73 more
194,Vishal Mega Mart,3.8,2.3k,Retail | 10k-50k Employees | 15 years old | Gurgaon/Gurugram +293 more
195,Publicis Sapient,3.6,2.3k,IT Services & Consulting | 10k-50k Employees | 33 years old | New York +15 more
196,DCB Bank,3.9,2.3k,Banking | 5k-10k Employees | Fortune India 500 | 93 years old | Mumbai +285 more
197,CMS IT Services,3.2,2.3k,IT Services & Consulting | 5k-10k Employees | Startup | 9 years old | Bangalore +135 more
198,Glenmark Pharmaceuticals,4.0,2.3k,Pharma | 501-1k Employees | Public | 46 years old | Mumbai +120 more
